Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,1,1,7,0,54.5448,19, 
1,1,2,7,0,52.3898,18.85, 
1,1,3,7,0,51.6344,17.865, 
1,1,4,7,0,51.5597,17.28, 
1,1,5,7,0,51.7148,15.9182, 
1,1,6,7,0,52.6898,16.24, 
1,1,7,7,0,55.341,17.525, 
1,1,8,7,0,57.9512,17.235, 
1,1,9,7,0,62.3844,18.15, 
1,1,10,7,0,66.2962,19.3, 
1,1,11,7,0,67.9479,21.0316, 
1,1,12,7,0,68.4049,22.065, 
1,1,13,7,0,67.4961,23, 
1,1,14,7,0,66.2013,24.1, 
1,1,15,7,0,64.954,24.235, 
1,1,16,7,0,65.8897,25, 
1,1,17,7,0,74.9203,24.97, 
1,1,18,7,0,76.4434,24.83, 
1,1,19,7,0,74.2872,24.865, 
1,1,20,7,0,71.5383,24.235, 
1,1,21,7,0,68.4996,25, 
1,1,22,7,0,63.6414,24.865, 
1,1,23,7,0,58.3511,24.1, 
1,1,24,7,0,53.7491,24.1, 
1,2,1,1,1,51.8118,24.2615, 
1,2,2,1,1,50.647,24.1, 
1,2,3,1,1,50.1112,24.3423, 
1,2,4,1,1,49.5164,24.7375, 
1,2,5,1,1,50.9446,23.665, 
1,2,6,1,1,54.3895,21.47, 
1,2,7,1,1,59.1938,22.835, 
1,2,8,1,1,63.3357,22.23, 
1,2,9,1,1,67.5723,24.82, 
1,2,10,1,1,70.517,29.365, 
1,2,11,1,1,71.8867,32.6, 
1,2,12,1,1,72.5931,36.45, 
1,2,13,1,1,71.3522,39, 
1,2,14,1,1,69.9583,39.135, 
1,2,15,1,1,68.8678,39.6, 
1,2,16,1,1,70.9172,37.18, 
1,2,17,1,1,80.5285,32.935, 
1,2,18,1,1,82.102,31.115, 
1,2,19,1,1,78.8044,26.52, 
1,2,20,1,1,76.6519,28.9, 
1,2,21,1,1,72.3804,28.9, 
1,2,22,1,1,65.0972,28.9, 
1,2,23,1,1,59.1795,29.365, 
1,2,24,1,1,56.086,32, 
1,3,1,2,0,54.9636,31.835, 
1,3,2,2,0,54.2368,30.765, 
1,3,3,2,0,55.1476,30, 
1,3,4,2,0,55.1778,30.03, 
1,3,5,2,0,58.8816,30.005, 
1,3,6,2,0,67.3959,28.8325, 
1,3,7,2,0,82.8466,28.3825, 
1,3,8,2,0,88.0444,28, 
1,3,9,2,0,88.1147,28, 
1,3,10,2,0,86.989,28.3273, 
1,3,11,2,0,89.3427,28, 
1,3,12,2,0,86.7023,28.1565, 
1,3,13,2,0,84.1035,30, 
1,3,14,2,0,85.4848,29.835, 
1,3,15,2,0,83.8277,28.825, 
1,3,16,2,0,84.2225,28.055, 
1,3,17,2,0,94.1587,25.935, 
1,3,18,2,0,91.8931,24.865, 
1,3,19,2,0,89.4535,23.935, 
1,3,20,2,0,86.395,23, 
1,3,21,2,0,83.0312,23, 
1,3,22,2,0,76.7536,22.835, 
1,3,23,2,0,70.5121,21.9, 
1,3,24,2,0,65.9737,21.765, 
1,4,1,3,0,61.861,20.835, 
1,4,2,3,0,60.5827,19.9, 
1,4,3,3,0,61.2744,19.765, 
1,4,4,3,0,61.3351,19, 
1,4,5,3,0,63.6892,19.1714, 
1,4,6,3,0,68.7625,19.9, 
1,4,7,3,0,85.395,19.7548, 
1,4,8,3,0,90.3555,19.0706, 
1,4,9,3,0,91.0105,19.3, 
1,4,10,3,0,90.4748,21.3, 
1,4,11,3,0,91.6367,22.4214, 
1,4,12,3,0,89.5117,24.4, 
1,4,13,3,0,87.2502,25.8214, 
1,4,14,3,0,88.7305,26.1, 
1,4,15,3,0,86.6659,26.1, 
1,4,16,3,0,88.5452,25.7921, 
1,4,17,3,0,95.8191,24.865, 
1,4,18,3,0,91.7425,24.1, 
1,4,19,3,0,89.3768,24.73, 
1,4,20,3,0,86.4522,24.8, 
1,4,21,3,0,82.8973,24.53, 
1,4,22,3,0,76.17,23, 
1,4,23,3,0,70.1833,23, 
1,4,24,3,0,65.0689,23.165, 
1,5,1,4,0,61.4059,24.1, 
1,5,2,4,0,60.9864,24.1, 
1,5,3,4,0,60.6971,24.1, 
1,5,4,4,0,60.1322,24.3739, 
1,5,5,4,0,62.4629,23.7906, 
1,5,6,4,0,68.6046,21.3273, 
1,5,7,4,0,84.4705,21.2, 
1,5,8,4,0,89.6815,23, 
1,5,9,4,0,89.6344,24.1, 
1,5,10,4,0,89.2115,24.4937, 
1,5,11,4,0,88.8777,24.8, 
1,5,12,4,0,85.9154,24.8, 
1,5,13,4,0,84.3362,26.2957, 
1,5,14,4,0,86.1637,26.6, 
1,5,15,4,0,84.2808,27, 
1,5,16,4,0,85.8382,27, 
1,5,17,4,0,93.0907,27, 
1,5,18,4,0,89.4229,26.64, 
1,5,19,4,0,88.0623,26.91, 
1,5,20,4,0,84.9804,27, 
1,5,21,4,0,80.159,27, 
1,5,22,4,0,73.5476,26.7, 
1,5,23,4,0,67.0307,27.15, 
1,5,24,4,0,62.7975,28.18, 
1,6,1,5,0,59.4933,28.36, 
1,6,2,5,0,58.9972,26.8714, 
1,6,3,5,0,58.6534,26.8759, 
1,6,4,5,0,57.8974,26.8, 
1,6,5,5,0,60.442,26.8615, 
1,6,6,5,0,65.806,26.8875, 
1,6,7,5,0,80.0984,26.6, 
1,6,8,5,0,86.769,26.6, 
1,6,9,5,0,86.9799,27.2172, 
1,6,10,5,0,87.1087,28.135, 
1,6,11,5,0,86.8856,28.4, 
1,6,12,5,0,83.3747,29.2, 
1,6,13,5,0,81.0708,30.135, 
