|   item| auctionid|number_of_bids|
+-------+----------+--------------+
|cartier|1649808226|             2|
|cartier|1639253454|             2|
|cartier|1649845539|             2|
|cartier|1641457876|             2|
|cartier|1638844284|             2|
|cartier|1639425502|             2|
|cartier|1647567213|             2|
|cartier|1650981438|             3|
|cartier|1639364679|             3|
|cartier|1642911743|             3|
|cartier|1641062012|             3|
|cartier|1643201832|             4|
|cartier|1648233039|             4|
|cartier|1641154540|             4|
|cartier|1646007296|             4|
|cartier|1648782304|             4|
|cartier|1641880908|             4|
|cartier|1639672910|             4|
|cartier|1638893549|             5|
|cartier|1650986455|             5|
|cartier|1641242797|             5|
|cartier|1641142160|             5|
|cartier|1648041601|             5|
|cartier|1642322610|             5|
|cartier|1648706567|             5|
|cartier|1649173313|             5|
|cartier|1650515990|             6|
|cartier|1650530689|             6|
|cartier|1646079608|             6|
|cartier|1638843936|             7|
|cartier|1644309984|             7|
|cartier|1641628327|             7|
|cartier|1649858595|             7|
|cartier|1648176677|             7|
|cartier|1642424500|             7|
|cartier|1639323228|             8|
|cartier|1645542737|             8|
|cartier|1643903116|             8|
|cartier|1642185637|             9|
|cartier|1648193761|             9|
|cartier|1649757877|             9|
|cartier|1642514892|             9|
|cartier|1646145109|             9|
|cartier|1648613621|             9|
|cartier|1643903372|             9|
|cartier|1643136423|            10|
|cartier|1645594382|            10|
|cartier|1644046945|            11|
|cartier|1638844729|            11|
|cartier|1642876200|            11|
|cartier|1642243766|            11|
|cartier|1645989170|            11|
|cartier|1642421109|            11|
|cartier|1646353713|            11|
|cartier|1644077820|            11|
|cartier|1641880134|            11|
|cartier|1644252877|            12|
|cartier|1648661746|            12|
|cartier|1639226378|            12|
|cartier|1645914432|            12|
|cartier|1642875447|            12|
|cartier|1648968984|            12|
|cartier|1647320738|            12|
|cartier|1644197869|            12|
|cartier|1645883276|            12|
|cartier|1644327264|            13|
|cartier|1649726994|            13|
|cartier|1640257270|            13|
|cartier|1638917885|            13|
|cartier|1643187764|            13|
|cartier|1641112143|            13|
|cartier|1648363974|            14|
|cartier|1641629836|            14|
|cartier|1644724061|            14|
|cartier|1644681469|            14|
|cartier|1640793161|            14|
|cartier|1642414724|            14|
|cartier|1649513497|            14|
|cartier|1647149304|            14|
|cartier|1644077790|            15|
|cartier|1646573469|            15|
|cartier|1640653873|            15|
|cartier|1643244227|            16|
|cartier|1649567847|            16|
|cartier|1641783552|            16|
|cartier|1638844464|            16|
|cartier|1642561397|            16|
|cartier|1639979107|            16|
|cartier|1643075711|            16|
|cartier|1641962219|            16|
|cartier|1639929579|            17|
|cartier|1647637035|            17|
|cartier|1644760539|            17|
|cartier|1644739924|            18|
|cartier|1642005995|            18|
|cartier|1650162165|            18|
|cartier|1639826019|            18|
|cartier|1646988233|            19|
|cartier|1650699048|            19|
|cartier|1644343468|            19|
|cartier|1647329406|            19|
|cartier|1640809330|            20|
|cartier|1649131866|            20|
|cartier|1641722275|            20|
|cartier|1649848613|            20|
|cartier|1644138548|            21|
|cartier|1641587440|            21|
|cartier|1640179146|            22|
|cartier|1649944294|            22|
|cartier|1640936328|            22|
|cartier|1643885624|            23|
|cartier|1640495398|            23|
|cartier|1640550476|            23|
|cartier|1649639405|            23|
|cartier|1642534283|            23|
|cartier|1648252368|            23|
|cartier|1647870862|            24|
|cartier|1639333116|            24|
|cartier|1644357387|            25|
|cartier|1639341131|            25|
|cartier|1646448593|            25|
|cartier|1644752795|            26|
|cartier|1643544538|            26|
|cartier|1649718196|            26|
|cartier|1644049270|            27|
|cartier|1647844282|            27|
|cartier|1639309309|            27|
|cartier|1647846714|            27|
|cartier|1644109746|            28|
|cartier|1643212361|            28|
|cartier|1650483277|            30|
|cartier|1639453840|            33|
|cartier|1640809333|            40|
|cartier|1650406935|            41|
|cartier|1649028956|            42|
|cartier|1644594033|            46|
|   palm|3024504428|             1|
|   palm|3023652961|             1|
|   palm|3015010479|             1|
|   palm|3020269225|             1|
|   palm|3018061782|             1|
|   palm|3022018351|             1|
|   palm|3025866584|             1|
|   palm|3016587753|             1|
|   palm|3023183955|             1|
|   palm|3024889358|             1|
|   palm|3015594808|             1|
|   palm|3025639289|             1|
|   palm|3024121735|             1|
|   palm|3018740612|             1|
|   palm|3025035412|             1|
|   palm|3019821308|             1|
|   palm|3025036419|             1|
|   palm|3016330514|             1|
|   palm|3024122118|             1|
|   palm|3023920921|             1|
|   palm|3015513123|             1|
|   palm|3020573049|             2|
|   palm|3018792064|             2|
|   palm|3025598698|             2|
|   palm|3015344188|             2|
